HUC12,ID,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
20401060104,411,17973.47145,33255.44035,46473.57711,32840.5483,48367.20142,28948.49506,19132.56553,36769.93376,45255.30283,37595.79957,37417.67157,47484.60073,49686.91066,55392.40523,25623.44057,58766.5908,57205.16679,47091.07023,53644.70392,51164.80425,28635.00335,55681.56643,62440.51638,72587.03379
20401060201,412,20860.14789,38596.5175,53937.58733,38114.99072,56135.34226,33196.01119,21939.82299,42165.06373,51895.46275,43112.10606,42907.84168,54451.85751,56977.30582,63519.94829,29383.08249,66424.18721,64659.30181,53227.28521,60634.8916,57831.84815,32366.29528,62937.16836,70576.84415,82045.5062
20401060202,413,20555.79933,38033.39561,53150.64098,37558.89425,55316.33035,33291.30886,22002.80682,42286.1094,52044.44241,43235.87045,43031.01975,54608.17564,57140.87317,63702.29786,29467.43447,67256.53513,65469.53428,53894.26562,61394.69413,58556.52701,32771.87038,63725.82099,71461.22662,83073.60247
20401060203,414,17974.65292,33257.62651,46476.63187,32842.7071,48370.3805,28174.37481,18620.93557,35786.6582,44045.11782,36590.43923,36417.07453,46214.80115,48358.21827,53911.14007,24938.23662,56380.14796,54882.13115,45178.75628,51466.25485,49087.06096,27472.16898,53420.40234,59904.87929,69639.35821
20401060204,415,10413.03527,19266.73251,26924.7369,19026.36236,28021.81918,17667.84468,11676.9868,22441.42486,27620.21533,22945.46736,22836.75216,28980.79999,30324.91348,33807.09064,15638.49748,35006.85879,34076.72929,28051.83072,31955.78548,30478.52614,17057.67685,33169.13086,37195.3908,43239.60307
20401060301,416,11062.59274,20468.57748,28604.28251,20213.21323,29769.80002,18237.27896,12053.3358,23164.7114,28510.4141,23684.99916,23572.7802,29914.85055,31302.2848,34896.69277,16142.52583,36603.49906,35630.94678,29331.2565,33413.26828,31868.63215,17835.66643,34681.95337,38891.84884,45211.73281
20401060302,417,19985.61369,36978.40968,51676.326,36517.06991,53781.94311,31738.86161,20976.7672,40314.21395,49617.49352,41219.68563,41024.38721,52061.67519,54476.26763,60731.71885,28093.30215,62683.81161,61018.30794,50230.03261,57220.51423,54575.31093,30543.73487,59393.14844,66602.6306,77425.48799
20401060303,418,16404.27153,30352.02603,42416.13441,29973.35675,44144.43321,25132.21038,16610.3164,31922.54727,39289.2889,32639.53917,32484.89384,41224.69839,43136.67678,48090.01528,22245.49818,49396.90118,48084.42915,39582.91457,45091.64343,43007.13634,24069.46556,46803.75003,52485.05913,61013.82587
20401060304,419,21046.05269,38940.48773,54418.27733,38454.66963,56635.61816,38920.17655,25723.02364,49435.81015,60844.07415,50546.15638,50306.66972,63841.282,66802.20628,74473.03183,34449.7642,79341.76546,77233.66058,63578.44819,72426.61975,69078.46512,38660.60109,75176.62191,84301.99389,98000.97816
20401060305,420,13903.65136,25725.25037,35950.34074,25404.30412,37415.18213,23322.99,15414.57105,29624.50359,36460.92752,30289.88064,30146.368,38257.00996,40031.34916,44628.10619,20644.08694,47045.46465,45795.47032,37698.65261,42945.14978,40959.87149,22923.68876,44575.75534,49986.61702,58109.3897
